playerId,player
1,heat
2,Shyy
3,Melser
4,mta
5,keznit
6,moose
7,Xeppaa
8,vanity
9,OXY
10,runi
11,TenZ
12,johnqt
13,Sacy
14,Zellsis
15,zekken
16,Asuna
17,eeiu
18,bang
19,Boostio
20,Cryocells
21,aspas
22,tex
23,kiNgg
24,C0M
25,Mazino
26,JonahP
27,leaf
28,trent
29,valyn
30,icy
31,t3xture
32,Munchkin
33,Karon
34,Lakia
35,Meteor
36,Lmemore
37,Estrella
38,Jemkin
39,Monyet
40,xffero
41,Jremy
42,JessieVash
43,2ge
44,Wild0reoo
45,invy
46,primmie
47,ban
48,JitBoyS
49,Crws
50,Governor
51,d4v41
52,Jinggg
53,something
54,mindfreak
55,f0rsakeN
56,BuZz
57,MaKo
58,Flashback
59,BeYN
60,Foxy9
61,Kai
62,Biank
63,FengF
64,LuoK1ng
65,heybay
66,Spitfires
67,sword9
68,deLb
69,monk
70,bunt
71,Viva
72,Z1yan
73,stew
74,YHchen
75,jkuro
76,whzy
77,Yosemite
78,nephh
79,Knight
80,Flex1n
81,Life
82,Autumn
83,AAAAY
84,BerLIN
85,Lysoar
86,ZmjjKK
87,nobody
88,CHICHOO
89,Smoggy
90,S1Mon
91,Sayf
92,Kicks
93,trexx
94,runneR
95,ceNder
96,Shao
97,ardiis
98,Zyppan
99,SUYGETSU
100,ANGE1
101,Alfajer
102,Boaster
103,Chronicle
104,Derke
105,hiro
106,N4RRATE
107,sh1n
108,tomaszy
109,MAGNUM
110,marteen
111,Boo
112,benjyfishy
113,RieNs
114,MiniBoo
115,Wo0t
116,MrFaliN
117,yetujey
118,qRaxs
119,AtaKaptan
120,cNed
