MatchID,MapID,Map Name,Winner,Loser,Winner Score,Winner Attack Score,Winner Defense Score,Loser Score,Loser Attack Score,Loser Defense Score
25,2,Lotus,Trace Esports,All Gamers,13,9,4,7,4,3
25,8,Sunset,Trace Esports,All Gamers,13,8,5,10,7,3
26,8,Sunset,Bilibili Gaming,JDG Esports,13,7,6,9,4,5
26,5,Icebox,Bilibili Gaming,JDG Esports,13,7,6,7,2,5
27,4,Ascent,Trace Esports,FunPlus Phoenix,13,4,9,3,3,0
27,3,Haven,Trace Esports,FunPlus Phoenix,13,9,4,11,8,3
28,8,Sunset,EDward Gaming,Bilibili Gaming,13,7,6,5,0,5
28,6,Bind,Bilibili Gaming,EDward Gaming,13,5,8,7,4,3
28,2,Lotus,EDward Gaming,Bilibili Gaming,13,9,4,10,7,3
29,8,Sunset,EDward Gaming,Trace Esports,13,10,3,2,0,2
29,1,Abyss,EDward Gaming,Trace Esports,13,6,7,5,5,0
30,4,Ascent,FunPlus Phoenix,Bilibili Gaming,13,4,9,3,3,0
30,5,Icebox,Bilibili Gaming,FunPlus Phoenix,14,7,5,12,7,5
30,2,Lotus,FunPlus Phoenix,Bilibili Gaming,13,7,6,10,6,4
31,2,Lotus,Trace Esports,FunPlus Phoenix,13,7,6,11,6,5
31,4,Ascent,Trace Esports,FunPlus Phoenix,13,6,7,8,2,6
31,1,Abyss,FunPlus Phoenix,Trace Esports,13,6,7,8,5,3
31,6,Bind,FunPlus Phoenix,Trace Esports,13,7,6,9,6,3
31,3,Haven,FunPlus Phoenix,Trace Esports,13,7,6,8,6,2
32,8,Sunset,EDward Gaming,FunPlus Phoenix,13,9,4,9,6,3
32,1,Abyss,FunPlus Phoenix,EDward Gaming,13,6,7,8,5,3
32,3,Haven,EDward Gaming,FunPlus Phoenix,13,4,9,7,3,4
32,5,Icebox,FunPlus Phoenix,EDward Gaming,13,8,5,9,7,2
32,6,Bind,EDward Gaming,FunPlus Phoenix,13,10,3,8,6,2
